number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,params_weight_multiplier,state
69,0.9515846023664999,2026-09-07 13:18:31.224762,2026-09-07 13:19:25.094391,0 days 00:00:53.869629,0.9776998279411953,0.08638951675974839,,461.0,0.865478992459821,1.241667179579247,COMPLETE
70,0.9379787066054099,2026-09-07 13:19:25.143405,2026-09-07 13:19:48.588588,0 days 00:00:23.445183,0.9888236197398583,0.16434595901773327,,569.0,0.8811851485473225,1.864958524536745,PRUNED
71,0.9311216263958813,2026-09-07 13:19:48.642595,2026-09-07 13:20:04.905159,0 days 00:00:16.262564,0.96537434389966,0.058236664348622146,,284.0,0.9117154092786629,1.8495076852910521,PRUNED
72,0.954471923426199,2026-09-07 13:20:04.962461,2026-09-07 13:21:00.987425,0 days 00:00:56.024964,0.9537650196597453,0.1382194833048583,,536.0,0.9253994514073545,1.6772017084016457,COMPLETE
73,0.9289060766380752,2026-09-07 13:21:01.040475,2026-09-07 13:21:22.808265,0 days 00:00:21.767790,0.923211992630282,0.1408240611271879,,508.0,0.9203525379697767,1.7511427642528858,PRUNED
74,0.9356522205452528,2026-09-07 13:21:22.863338,2026-09-07 13:21:47.229311,0 days 00:00:24.365973,0.951707121932192,0.10880650133483954,,547.0,0.8985943175553041,1.545785050614517,PRUNED
75,0.9317428924893743,2026-09-07 13:21:47.281419,2026-09-07 13:22:11.075093,0 days 00:00:23.793674,0.785690924286775,0.1191326500155291,,537.0,0.9426276897899182,1.6083362716323175,PRUNED
76,0.9359106110784842,2026-09-07 13:22:11.129730,2026-09-07 13:22:36.296477,0 days 00:00:25.166747,0.9427318501780583,0.10006215637880313,,581.0,0.959966157599604,1.67347994173282,PRUNED
77,0.935927328180939,2026-09-07 13:22:36.350559,2026-09-07 13:22:57.958065,0 days 00:00:21.607506,0.9341216818447785,0.18144760266240395,,517.0,0.9233580153024252,1.477646608003414,PRUNED
78,0.954527796532161,2026-09-07 13:22:58.012797,2026-09-07 13:24:01.760173,0 days 00:01:03.747376,0.9624342752665435,0.13786871105020448,,599.0,0.9368358008616643,1.8236228551797953,COMPLETE
79,0.9359022305226217,2026-09-07 13:24:01.811619,2026-09-07 13:24:26.092727,0 days 00:00:24.281108,0.9675725181653771,0.15588341230328137,,564.0,0.9384494530228802,1.9307765857571328,PRUNED
80,0.9379677219895876,2026-09-07 13:24:26.152785,2026-09-07 13:24:42.108683,0 days 00:00:15.955898,0.9792986368146873,0.1470377979480743,,341.0,0.9131787712554318,1.8458222932009904,PRUNED
81,0.9531337001205198,2026-09-07 13:24:42.164633,2026-09-07 13:25:26.910131,0 days 00:00:44.745498,0.9601601772434036,0.1340417879982018,,322.0,0.8927706838773491,1.8075614449629753,COMPLETE
82,0.954636335378753,2026-09-07 13:25:26.986437,2026-09-07 13:26:28.783759,0 days 00:01:01.797322,0.9497644164520288,0.11631827199682351,,541.0,0.9513820347268594,1.290615851499703,COMPLETE
83,0.93565044356291,2026-09-07 13:26:28.840109,2026-09-07 13:26:52.600604,0 days 00:00:23.760495,0.9919023980935038,0.11709543522759419,,535.0,0.9549266937023233,1.0892360183275418,PRUNED
84,0.9353293868697241,2026-09-07 13:26:52.653927,2026-09-07 13:27:10.399302,0 days 00:00:17.745375,0.9272886226643835,0.04637692497223263,,295.0,0.7844659489730096,1.2437137696317517,PRUNED
85,0.9312131876362406,2026-09-07 13:27:10.457750,2026-09-07 13:27:34.128454,0 days 00:00:23.670704,0.972379798997986,0.10713407193645638,,542.0,0.9479115287536675,1.2917166265743938,PRUNED
86,0.9316926888379236,2026-09-07 13:27:34.185273,2026-09-07 13:28:00.099933,0 days 00:00:25.914660,0.840931486547684,0.09510458676590748,,562.0,0.9356498624900104,1.3649756807740887,PRUNED
87,0.9379290666370861,2026-09-07 13:28:00.155416,2026-09-07 13:28:13.837936,0 days 00:00:13.682520,0.9546761527278734,0.1344717600986835,,245.0,0.9896028377730761,1.7258382903841454,PRUNED
88,0.9311789385737212,2026-09-07 13:28:13.894684,2026-09-07 13:28:33.060335,0 days 00:00:19.165651,0.8708312230237892,0.0838128485193116,,385.0,0.9751439863174842,1.7653574787058584,PRUNED
89,0.9356019500850228,2026-09-07 13:28:33.121231,2026-09-07 13:28:48.065039,0 days 00:00:14.943808,0.9388782749069058,0.10322719897447188,,268.0,0.9045327166739547,1.1859613640366062,PRUNED
90,0.9317177862202699,2026-09-07 13:28:48.118160,2026-09-07 13:29:14.157914,0 days 00:00:26.039754,0.9031623876056996,0.11137252879791194,,523.0,0.9140150758190994,1.291108550633641,PRUNED
91,0.8336715745715744,2026-09-07 19:06:35.530596,2026-09-07 19:06:46.529252,0 days 00:00:10.998656,0.9615565572829146,0.020350604538597654,3.0,363.0,0.9673401305895731,1.4762044370740526,PRUNED
92,0.9356755412212274,2026-09-07 19:06:46.583691,2026-09-07 19:07:10.105450,0 days 00:00:23.521759,0.9499957633478673,0.12603708298007182,15.0,596.0,0.9321801102000925,1.7007963150108663,PRUNED
93,0.9286436393393542,2026-09-07 19:07:10.153669,2026-09-07 19:07:33.421066,0 days 00:00:23.267397,0.9759689566274371,0.11816709865072329,9.0,583.0,0.9244343555988431,0.8077472274681923,PRUNED
94,0.9324855899063201,2026-09-07 19:07:33.486434,2026-09-07 19:07:50.432619,0 days 00:00:16.946185,0.9391525015950174,0.16272844548327228,3.0,578.0,0.9589180921395233,1.8138550391158055,PRUNED
95,0.9288467382469456,2026-09-07 19:07:50.484551,2026-09-07 19:08:13.729532,0 days 00:00:23.244981,0.9547964043504464,0.139713550228055,15.0,597.0,0.9437721864404953,1.1441081970871598,PRUNED
96,0.9377397054495993,2026-09-07 19:08:13.781290,2026-09-07 19:08:37.384487,0 days 00:00:23.603197,0.9844147978214292,0.1520466265785053,9.0,600.0,0.9276261498127453,0.6679641754972163,PRUNED
97,0.9358352250969031,2026-09-07 19:08:37.453245,2026-09-07 19:08:52.716209,0 days 00:00:15.262964,0.9185776721116233,0.12855708907427782,12.0,349.0,0.9502627900182489,0.9340780734558496,PRUNED
98,0.9352534678851354,2026-09-07 19:08:52.772730,2026-09-07 19:09:05.708316,0 days 00:00:12.935586,0.9672463476011193,0.09404178937506487,6.0,304.0,0.9398101583025467,1.9036888456132965,PRUNED
99,0.9361301844932954,2026-09-07 19:09:05.773018,2026-09-07 19:09:17.069153,0 days 00:00:11.296135,0.9463684736758307,0.1921835239203246,12.0,256.0,0.9071071302426895,1.8360231808431613,PRUNED
100,0.9318220659991241,2026-09-07 19:09:17.119747,2026-09-07 19:09:38.585126,0 days 00:00:21.465379,0.9329899163190042,0.17637190108687048,6.0,557.0,0.896964799656367,1.9588654025085985,PRUNED
101,0.9361370288124542,2026-09-07 19:09:38.636050,2026-09-07 19:09:53.615427,0 days 00:00:14.979377,0.9596817722294267,0.12019081385809458,12.0,329.0,0.9836111309218547,1.7943853891884776,PRUNED
102,0.9362464031128029,2026-09-07 19:09:53.691293,2026-09-07 19:10:17.103434,0 days 00:00:23.412141,0.9520906625679628,0.1386591762926772,7.0,588.0,0.9168611914535253,1.6375594866179288,PRUNED
103,0.9360127208085667,2026-09-07 19:10:17.155465,2026-09-07 19:10:39.842891,0 days 00:00:22.687426,0.9243187445540687,0.11053810243151352,5.0,585.0,0.9349025799486427,1.6684435887239637,PRUNED
104,0.9356319533141223,2026-09-07 19:10:39.906889,2026-09-07 19:11:03.342866,0 days 00:00:23.435977,0.9093518089995232,0.10464225197401177,11.0,566.0,0.9309279046125133,1.727314838737426,PRUNED
105,0.9379735225341661,2026-09-07 19:11:03.458136,2026-09-07 19:11:29.159679,0 days 00:00:25.701543,0.9451746321490028,0.1309930376763986,14.0,575.0,0.8829612832151137,1.7662783959079502,PRUNED
106,0.9380667074099517,2026-09-07 19:11:29.234331,2026-09-07 19:11:52.461610,0 days 00:00:23.227279,0.9571205389675767,0.09601793492886465,8.0,546.0,0.9183976512309967,1.3643973091449497,PRUNED
107,0.9554009701518623,2026-09-07 19:11:52.512807,2026-09-07 19:12:18.927515,0 days 00:00:26.414708,0.9649627446231271,0.07625952012379998,10.0,215.0,0.9631804864850304,1.5868169724223125,COMPLETE
108,0.9284009640083881,2026-09-07 19:12:18.996419,2026-09-07 19:12:34.961889,0 days 00:00:15.965470,0.7052075210517306,0.07743114114542987,10.0,315.0,0.9640909735342676,1.4424619457019217,PRUNED
109,0.9537537840803635,2026-09-07 19:12:35.105712,2026-09-07 19:13:07.661347,0 days 00:00:32.555635,0.9864419556544376,0.07234821001999535,13.0,224.0,0.9968383766596345,1.5788877847420406,COMPLETE
110,0.9354059161974078,2026-09-07 19:13:07.769900,2026-09-07 19:13:20.907392,0 days 00:00:13.137492,0.9948305332501974,0.09829083561537505,8.0,276.0,0.9482663474882396,1.6168182477099768,PRUNED
111,0.9532713012346768,2026-09-07 19:13:20.972673,2026-09-07 19:14:19.798450,0 days 00:00:58.825777,0.9656640885058781,0.0879641736441247,10.0,475.0,0.9564424829539203,1.5228447829354714,COMPLETE
112,0.9355297693894782,2026-09-07 19:14:19.988666,2026-09-07 19:14:54.482778,0 days 00:00:34.494112,0.9755878899458974,0.08331802379891999,4.0,215.0,0.9241924073911888,1.6505012031947932,PRUNED
113,0.9361395951230288,2026-09-07 19:14:54.696217,2026-09-07 19:16:09.339524,0 days 00:01:14.643307,0.9416692543415177,0.12165893979251405,10.0,554.0,0.9410119279897338,1.6991291122693657,PRUNED
114,0.9361552732708023,2026-09-07 19:16:09.674468,2026-09-07 19:17:32.495585,0 days 00:01:22.821117,0.9499449923994113,0.06650639876529062,13.0,433.0,0.9298305025750424,1.7415707669084133,PRUNED
115,0.9364931539611925,2026-09-07 19:17:32.852633,2026-09-07 19:19:09.016499,0 days 00:01:36.163866,0.9339221105280487,0.10177184809698617,7.0,588.0,0.976942420150518,1.7854971573864953,PRUNED
116,0.9356745911179347,2026-09-07 19:19:09.272170,2026-09-07 19:19:37.671861,0 days 00:00:28.399691,0.9596899562010233,0.11456436048939703,5.0,202.0,0.9092928242369541,1.5500622943171574,PRUNED
117,0.9547156578898086,2026-09-07 19:19:37.921762,2026-09-07 19:22:08.140806,0 days 00:02:30.219044,0.9691177949960641,0.14823838213248483,11.0,400.0,0.951202545047055,1.5855602988181372,COMPLETE
118,0.9360867972949535,2026-09-07 19:22:08.382368,2026-09-07 19:23:09.620169,0 days 00:01:01.237801,0.9705101419165255,0.1461458153389088,11.0,414.0,0.9673511463596965,1.449962714725118,PRUNED
119,0.9533536680018836,2026-09-07 19:23:09.875308,2026-09-07 19:25:42.116696,0 days 00:02:32.241388,0.9769180414464158,0.16864092243455275,11.0,400.0,0.9536229037534891,1.867841036991706,COMPLETE
120,0.9382003183660056,2026-09-07 19:25:42.387228,2026-09-07 19:27:12.573868,0 days 00:01:30.186640,0.9806422401161966,0.09065193291492557,13.0,498.0,0.9626843152677039,1.5912403520152136,PRUNED
